epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,184.301,0.99421,1.15221,1.14266,0.55197,0.55576,0.51667,0.28338,1.93656,1.99136,1.92871,0.000176094,0.000176094,0.000176094
87,186.772,0.94683,1.06595,1.06288,0.60568,0.55576,0.52287,0.28679,1.93831,1.9613,1.9361,0.000165095,0.000165095,0.000165095
88,189.497,0.95338,1.08516,1.08079,0.64429,0.53667,0.52503,0.27964,1.93431,1.95296,1.9433,0.000154096,0.000154096,0.000154096
89,192.263,0.89568,1.0949,1.04494,0.63062,0.5786,0.54723,0.27732,1.93118,1.96467,1.95802,0.000143097,0.000143097,0.000143097
90,194.931,0.95269,1.12311,1.08905,0.69687,0.52736,0.53518,0.27951,1.92519,1.97472,1.97172,0.000132098,0.000132098,0.000132098
91,201.851,0.95757,1.22653,1.11991,0.67139,0.55394,0.53071,0.2777,1.93004,1.95134,1.98648,0.000121099,0.000121099,0.000121099
92,204.335,0.93982,1.14607,1.07669,0.66274,0.54305,0.53133,0.29627,1.90504,2.02946,1.96554,0.0001101,0.0001101,0.0001101
93,206.645,0.87345,1.20708,1.0655,0.67172,0.53778,0.56405,0.30437,1.9391,2.03687,1.9787,9.91012e-05,9.91012e-05,9.91012e-05
94,209.114,0.89136,1.16288,1.0557,0.68825,0.50983,0.56592,0.30696,1.93189,2.01607,1.95731,8.81023e-05,8.81023e-05,8.81023e-05
95,211.459,0.8514,1.13646,1.05426,0.72153,0.49686,0.55704,0.31025,1.93672,1.96848,1.95163,7.71034e-05,7.71034e-05,7.71034e-05
96,213.816,0.85826,1.13898,1.03101,0.71458,0.49359,0.55795,0.31088,1.9377,1.97331,1.95971,6.61045e-05,6.61045e-05,6.61045e-05
97,216.166,0.9495,1.09913,1.05748,0.72144,0.49343,0.55709,0.30979,1.92405,1.97815,1.95022,5.51056e-05,5.51056e-05,5.51056e-05
98,218.467,0.8804,1.0903,1.06197,0.73222,0.49725,0.5595,0.31766,1.9156,1.99886,1.9366,4.41067e-05,4.41067e-05,4.41067e-05
99,220.829,0.95462,1.11885,1.0562,0.70798,0.4948,0.55619,0.31649,1.91785,1.99351,1.94141,3.31078e-05,3.31078e-05,3.31078e-05
100,223.141,0.8613,1.09324,1.05631,0.69992,0.49771,0.55451,0.31294,1.88279,2.03675,1.90619,2.21089e-05,2.21089e-05,2.21089e-05
